Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01005388,Oldham 018B,4761.7
E01005389,Oldham 018C,2984.3
E01005390,Oldham 004A,5310.2
E01005391,Oldham 008A,1082.6
E01005392,Oldham 008B,5199.7
E01005393,Oldham 008C,3185.5
E01005394,Oldham 004B,768.5
E01005395,Oldham 004C,4309.8
E01005396,Oldham 004D,3305.7
E01005397,Oldham 009A,1077.8
E01005398,Oldham 009B,2859.3
E01005399,Oldham 005C,4872.4
E01005400,Oldham 009C,3942.1
E01005401,Oldham 008D,3556.2
E01005402,Oldham 009D,4557.8
E01005403,Oldham 005D,2343.2
E01005406,Oldham 021A,951.3
E01005407,Oldham 013A,529.8
E01005408,Oldham 020C,2031.2
E01005409,Oldham 020D,61.1
E01005410,Oldham 006A,115.2
E01005411,Oldham 006B,894
E01005412,Oldham 013B,1079.6
E01005413,Oldham 021B,2791.7
E01005414,Oldham 006C,72.2
E01005415,Oldham 006D,1056.4
E01005416,Oldham 013C,368.9
E01005417,Oldham 013D,651.7
E01005418,Oldham 018D,5110.5
E01005419,Oldham 021C,5881.6
E01005420,Oldham 021D,3572.2
E01005421,Oldham 011A,3603.9
E01005422,Oldham 011B,3490.1
E01005427,Oldham 022C,7618.7
E01005428,Oldham 019A,8510.3
E01005429,Oldham 022D,7622.1
E01005430,Oldham 022E,10689.7
E01005431,Oldham 019B,4238.6
E01005432,Oldham 014C,3585.2
E01005433,Oldham 014D,4271.4
E01005434,Oldham 024B,3463.1
E01005435,Oldham 037B,12102.4
E01005436,Oldham 037D,8200.2
E01005437,Oldham 024C,15340.8
E01005438,Oldham 029E,4310.2
E01005439,Oldham 030E,5383.3
E01005440,Oldham 033D,900.5
E01005441,Oldham 002A,2137.5
E01005442,Oldham 002B,3593.8
E01005443,Oldham 003B,296
E01005444,Oldham 002C,6821.3
E01005445,Oldham 002D,6144.9
E01005446,Oldham 003C,3343.6
E01005447,Oldham 003D,2269.2
E01005448,Oldham 012A,6375.6
E01005449,Oldham 012B,3410.1
E01005450,Oldham 019C,11964.2
E01005451,Oldham 019D,4835.9
E01005452,Oldham 007C,1290.5
E01005453,Oldham 007D,2153.1
E01005454,Oldham 012C,2710.8
E01005455,Oldham 012D,8872.7
E01005456,Oldham 012E,7227.7
E01005459,Oldham 024D,5266.3
E01005460,Oldham 036C,12346
E01005461,Oldham 037A,10301.7
E01005462,Oldham 037C,7306.2
E01005463,Oldham 036D,11276.7
E01005464,Rochdale 016A,5384.2
E01005465,Rochdale 016B,3242
E01005466,Rochdale 016C,4169.5
E01005467,Rochdale 016D,1694
E01005468,Rochdale 016E,1096.8
E01005469,Rochdale 012A,6051.1
E01005470,Rochdale 015A,15025.8
E01005471,Rochdale 015B,4207.4
E01005472,Rochdale 010A,3041.6
E01005473,Rochdale 010B,6264.7
E01005474,Rochdale 011A,1382
E01005475,Rochdale 015C,6019
E01005476,Rochdale 017A,1429
E01005477,Rochdale 017B,3962.9
E01005478,Rochdale 017C,867.1
E01005479,Rochdale 017D,1452.2
E01005480,Rochdale 017E,2776
E01005481,Rochdale 017F,4226.4
E01005482,Rochdale 010C,1936.6
E01005483,Rochdale 010D,8101.5
E01005484,Rochdale 010E,3489
E01005485,Rochdale 015D,9777.7
E01005486,Rochdale 010F,10143.1
E01005487,Rochdale 010G,4744.1
E01005488,Rochdale 006A,461.2
E01005489,Rochdale 005A,2371.8
E01005490,Rochdale 005B,1823.4
E01005491,Rochdale 005C,2836.8
E01005492,Rochdale 006B,2308.5
E01005493,Rochdale 005D,2775.7
E01005494,Rochdale 005E,4626.3
E01005495,Rochdale 005F,2781
E01005496,Rochdale 009A,4269.6
E01005497,Rochdale 018A,4206.9
E01005498,Rochdale 020A,1702.9
E01005499,Rochdale 006C,77.2
E01005500,Rochdale 020B,871.9
E01005501,Rochdale 018B,3029.2
E01005502,Rochdale 018C,7027
E01005503,Rochdale 020C,3670.3
E01005504,Rochdale 018D,5536.1
E01005505,Rochdale 018E,3168.3
E01005506,Rochdale 020D,5981.5
E01005507,Rochdale 020E,2439.8
E01005508,Rochdale 020F,462.4
E01005509,Rochdale 018F,6790.4
E01005510,Rochdale 019A,4862.2
E01005511,Rochdale 019B,1591.2
E01005512,Rochdale 019C,6354.8
E01005513,Rochdale 019D,5762
E01005514,Rochdale 019E,716.5
E01005515,Rochdale 019F,2459.6
E01005516,Rochdale 003A,4644.7
E01005517,Rochdale 003B,2418.3
E01005518,Rochdale 001A,203.5
E01005519,Rochdale 002A,1333.1
E01005520,Rochdale 001B,1086.9
E01005521,Rochdale 003C,90.1
E01005522,Rochdale 001C,5505.7
E01005523,Rochdale 001D,3216.9
E01005524,Rochdale 021A,4923
E01005525,Rochdale 021B,3860.8
E01005526,Rochdale 021C,787.8
E01005527,Rochdale 022A,4779.3
E01005528,Rochdale 021D,5072.1
E01005529,Rochdale 022B,6658.6
E01005530,Rochdale 025A,3557.8
E01005531,Rochdale 025B,2757.8
E01005532,Rochdale 025C,5087.1
E01005533,Rochdale 024A,4299.3
E01005534,Rochdale 023A,4893
E01005535,Rochdale 023B,4926.2
E01005536,Rochdale 021E,5158.1
E01005537,Rochdale 023C,4962.9
E01005538,Rochdale 023D,6333.3
E01005539,Rochdale 024B,2808.6
E01005540,Rochdale 023E,2833.4
E01005541,Rochdale 023F,5913.6
E01005542,Rochdale 023G,5024.9
E01005543,Rochdale 021F,401.9
E01005544,Rochdale 025D,3762.8
E01005545,Rochdale 025E,3675.4
E01005546,Rochdale 024C,1020.3
E01005547,Rochdale 024D,3648.6
E01005548,Rochdale 024E,1905.3
E01005549,Rochdale 025F,2777.7
E01005550,Rochdale 025G,4267.4
E01005551,Rochdale 022C,6775.9
E01005552,Rochdale 022D,6691.4
E01005553,Rochdale 022E,7077.8
E01005554,Rochdale 022F,687.2
E01005555,Rochdale 014A,394.8
E01005556,Rochdale 013A,3286
E01005557,Rochdale 014B,4060.6
E01005558,Rochdale 014C,5022.1
E01005559,Rochdale 013B,2171.1
E01005560,Rochdale 013C,1157
E01005561,Rochdale 014D,118.6
E01005562,Rochdale 014E,2161.6
E01005563,Rochdale 012B,4910.6
E01005564,Rochdale 015E,5464.9
E01005565,Rochdale 012C,5289.6
E01005566,Rochdale 012D,3771.3
E01005567,Rochdale 013D,1432.5
E01005568,Rochdale 012E,9933.4
E01005569,Rochdale 012F,5708.8
E01005570,Rochdale 007A,1688.2
E01005571,Rochdale 006D,372.2
E01005572,Rochdale 007B,4326.5
E01005573,Rochdale 007C,2348.4
E01005574,Rochdale 007D,1729
E01005575,Rochdale 011B,3772
E01005576,Rochdale 011C,2261.2
E01005577,Rochdale 011D,2116.3
E01005578,Rochdale 004A,4196.4
E01005579,Rochdale 004B,5123.9
E01005580,Rochdale 008A,3932.7
E01005581,Rochdale 008B,6652.1
E01005583,Rochdale 008D,7410.9
E01005585,Rochdale 008F,3137
E01005586,Rochdale 004C,4851.3
E01005587,Rochdale 007E,3586.8
E01005588,Rochdale 007F,3309
E01005589,Rochdale 009B,6591.7
E01005590,Rochdale 009C,3727.5
E01005591,Rochdale 009D,5537.7
